Date,Open,High,Low,Close,Volume
2014-07-13,26.74,27.38,26.7,27.32,44287976.0
2014-07-06,26.2,26.5,25.94,26.5,24026723.0
2014-06-29,25.94,26.15,25.71,25.98,18778206.0
2014-06-22,25.9,26.06,25.63,25.82,39255704.0
2014-06-15,23.98,24.12,23.69,24.11,27977829.0
2014-06-08,22.64,22.68,22.34,22.64,16148327.0
2014-06-01,22.14,22.5,21.94,22.5,28685313.0
2014-05-25,23.42,23.5,23.3,23.31,8165850.0
2014-05-18,23.48,23.58,23.33,23.42,14767075.0
2014-05-11,23.85,23.95,23.52,23.73,10691724.0
2014-05-04,23.92,24.39,23.81,24.32,30663795.0
2014-04-27,24.13,24.48,24.03,24.46,32621378.0
2014-04-20,23.8,23.96,23.54,23.57,19332050.0
2014-04-13,24.64,24.8,24.13,24.22,25661269.0
2014-04-06,24.63,24.66,24.14,24.26,30183452.0
2014-03-30,23.7,24.35,23.51,24.1,46141636.0
2014-03-23,25.85,25.94,25.28,25.52,23184723.0
2014-03-16,27.97,28.03,27.42,27.73,33473432.0
2014-03-09,26.36,26.38,26.05,26.18,41179253.0
2014-03-02,26.08,26.17,25.75,25.88,26888028.0
2014-02-23,26.71,26.85,26.25,26.53,38903265.0
2014-02-16,26.42,26.68,26.05,26.35,52610153.0
2014-02-09,23.23,23.94,23.22,23.91,41643562.0
2014-02-02,23.74,23.76,23.17,23.48,28868395.0
2014-01-26,24.01,24.19,23.12,23.67,36429537.0
2014-01-19,22.9,23.38,22.85,23.33,39783341.0
2014-01-12,21.67,22.06,21.58,22.01,48862934.0
2014-01-05,22.14,22.22,21.81,21.83,24084230.0
2013-12-29,21.2,21.25,20.99,21.25,20871617.0
2013-12-22,20.64,20.79,20.51,20.53,26985103.0
2013-12-15,21.24,21.44,21.02,21.11,27347088.0
2013-12-08,21.01,21.14,20.64,20.66,24145441.0
2013-12-01,22.11,22.4,22.03,22.28,27521399.0
2013-11-24,22.63,22.85,22.25,22.25,29647700.0
2013-11-17,24.63,24.7,24.05,24.13,37580005.0
2013-11-10,23.87,24.3,23.5,24.28,40162619.0
2013-11-03,24.66,24.72,24.02,24.08,59342288.0
2013-10-27,25.98,26.45,25.74,26.32,24942284.0
2013-10-20,24.52,24.77,24.3,24.38,23736626.0
2013-10-13,23.22,23.37,22.93,23.05,46747324.0
2013-10-06,24.33,24.45,24.03,24.19,24234582.0
2013-09-29,25.46,25.67,24.93,25.17,25542642.0
2013-09-22,26.91,26.92,25.55,25.76,95898200.0
2013-09-15,25.16,25.73,25.08,25.63,50205784.0
2013-09-08,27.95,28.29,27.8,28.01,31430281.0
2013-09-01,28.03,28.66,27.85,28.13,40929352.0
2013-08-25,29.33,30.41,29.3,30.14,42793144.0
2013-08-18,30.74,30.94,29.48,29.79,48526278.0
2013-08-11,25.89,26.98,25.56,26.47,45324722.0
2013-08-04,26.15,26.53,25.52,25.59,32483200.0
2013-07-28,26.9,27.6,26.61,27.58,25053975.0
2013-07-21,25.13,25.89,24.98,25.86,27364834.0
2013-07-14,24.54,24.72,24.06,24.37,23271550.0
2013-07-07,23.37,23.43,22.79,23.42,43650165.0
