         non-standardized x and y (A=228)  , standardized x and y (A=228)
"FP076", 0.19691488167919463               , 1.0455489182206705
"FP077", 0.1506725773258135               , 1.0342878033727625
"FP078", 0.31470050592389764               , 1.0830763020599832
"FP079", 0.21193860815524537               , 1.0049912992289454
"FP080", 0.33149483297003984               , 1.0311106292781853
"FP081", 0.17907304164679566               , 1.012301315228832
"FP082", 0.17678670016591314               , 0.9486815358299507
"FP083", 0.2224620180526907               , 1.01796260706522
"FP084", 0.2630024580426889               , 1.0983621467055977
"FP085", 0.2446305592882535               , 0.9858897231739032
"FP086", 0.14338608595125954               , 0.9263529016363643
"FP087", 0.25138445569427814               , 1.0141140881135684
"FP088", 0.22910565943010294               , 0.9409441275438518
"FP089", 0.20969021337399782               , 1.0060412149765994
"FP090", 0.14750547305134698               , 0.985108520883717
"FP091", 0.2039645285047338               , 1.0196053052034386
"FP092", 0.16425892506582246               , 1.0526778974645912
"FP093", 0.1471043441629333               , 1.0262735152006626
"FP094", 0.2142421596199231               , 0.9927621556634546
"FP095", 0.14018343505193298               , 1.0051004083168307
"FP096", 0.2041290360145413               , 1.0072192475095425
"FP097", 0.22766577124775256               , 1.0118366823232157
"FP098", 0.3053829855268196               , 0.9930789486814062
"FP099", 0.2044240122835874               , 0.9963229560314565
"FP100", 0.20974597817076762               , 1.1234337497732114
"FP101", 0.3003624307193242               , 1.0887008428142642
"FP102", 0.2737241945173177               , 1.0637702464227756
"FP103", 0.1598627808847448               , 0.8996294245482641
"FP104", 0.27363984218757154               , 0.9598398336991576
"FP105", 0.17112481178590078               , 0.9834169865905884
"FP106", 0.1620802461331089               , 0.972814357869199
"FP107", 0.18704884687795498               , 1.0187631622340652
"FP108", 0.2737330003400846               , 1.0196527671722038
"FP109", 0.1783454021449804               , 1.0525848833050961
"FP110", 0.2372177267866687               , 1.0529069302499485
"FP111", 0.2632819908547427               , 0.9856096147845768
"FP112", 0.1636027187148316               , 1.0098538024878219
"FP113", 0.1390632747626656               , 0.9837601158573105
"FP114", 0.1547608373483144               , 0.9759194517948945
"FP115", 0.16726681912465186               , 0.9494927986874597
"FP116", 0.2427151981098033               , 1.0265549055845071
"FP117", 0.21304071928199644               , 1.0334648709496455
"FP118", 0.19847975035556448               , 0.9634207550898961
"FP119", 0.2519314866810207               , 1.0457343112438031
"FP120", 0.23701781307185762               , 0.995093335880197
"FP121", 0.28009420931523327               , 1.0562987023959483
"FP122", 0.1406128165178865               , 0.9802651359584044
"FP123", 0.19636250319770027               , 1.0752733387636728
"FP124", 0.23133950361334657               , 1.0112709190834843
"FP125", 0.15613615017567276               , 1.02557417081984
"FP126", 0.21137505625543251               , 0.9200676163772926
"FP127", 0.21633902035195843               , 0.9514247516502935
"FP128", 0.1762623737984484               , 1.0118797406631077
"FP129", 0.13512101406066052               , 0.9975040426803975
"FP130", 0.11282885770264005               , 1.0064163599101117
"FP131", 0.161632323589106               , 0.9780408189374362
"FP132", 0.14227380166583722               , 0.9936341563493999
"FP133", 0.1875882133488436               , 0.9787065484450086
"FP134", 0.10958913118839368               , 1.050093722510171
"FP135", 0.3061498914346196               , 0.9769316295271346
"FP136", 0.21868269524584644               , 1.0543130391987034
"FP137", 0.2525017719899053               , 1.023734504952996
"FP138", 0.23777701822896605               , 0.9820491456770233
"FP139", 0.11259996848118592               , 0.9921644504891532
"FP140", 0.14701881362681757               , 1.000986457793261
"FP141", 0.10127251011285966               , 1.00828354090367
"FP142", 0.29856874062064914               , 0.9776234507174459
"FP143", 0.12182597697609594               , 1.0165940764389183
"FP144", 0.1446906280974096               , 0.9719003583351324
"FP145", 0.2094069907569444               , 0.9048365010706202
"FP146", 0.14169884323530924               , 1.0293326032435166
"FP147", 0.12205564949484878               , 0.9651393723588878
"FP148", 0.15927704743786247               , 0.9561454926090381
"FP149", 0.11360622086357935               , 0.9562515739791151
"FP150", 0.10879724961834986               , 0.9384749648381647
"FP151", 0.10789890815610974               , 1.03381766008389
"FP152", 0.11561096831534663               , 1.0265493612014491
"FP153", 0.16691434670976085               , 0.9858984275985829
"FP154", 0.15819869860981206               , 0.8413153148590878
"FP155", 0.13092694063273067               , 1.0032945715403898
"FP156", 0.10724777513377151               , 1.016192006042775
"FP157", 0.18243087732921723               , 0.974012891048307
"FP158", 0.1395701863339501               , 0.9107039409931804
"FP159", 0.12299595811873368               , 0.9539979859285378
"FP160", 0.1051952139580341               , 1.0352371279477033
"FP161", 0.12956759968600925               , 0.9244546825030702
"FP162", 0.24321331938538537               , 0.9891361539731598
"FP163", 0.22650824627518598               , 1.0650411800797939
"FP164", 0.21877858458874125               , 1.035026041641478
"FP165", 0.228131374400119               , 1.009453348839105
"FP166", 0.23310979314219357               , 1.0504888806393906
"FP167", 0.2265202834463931               , 0.994318448992539
"FP168", 0.21395996225356576               , 1.0407289090625647
"FP169", 0.12792985570482357               , 0.9220383883848334
"FP170", 0.18569658327141436               , 1.0214356770833934
"FP171", 0.19630580136602802               , 0.968144223990709
"FP172", 0.1779303756354609               , 1.046008507248879
"FP173", 0.1465572324070529               , 0.933425021437738
"FP174", 0.1981131834448001               , 0.9700952991023658
"FP175", 0.2023746397023158               , 1.1156510139472633
"FP176", 0.1981521773877144               , 1.0718922641437165
"FP177", 0.12784227311976662               , 1.0425693638673108
"FP178", 0.17602428089508762               , 0.9856206223307774
"FP179", 0.12010122314007828               , 0.9904971783477683
"FP180", 0.15519035682974835               , 1.0343676065523246
"FP181", 0.14538259762391603               , 0.9607084918372719
"FP182", 0.13608024840569333               , 0.9862177857907013
"FP183", 0.1477994113718031               , 0.9886753613774688
"FP184", 0.15698818763906933               , 1.0129859983715128
"FP185", 0.11259607498977658               , 1.0376053222447037
"FP186", 0.1455933145752897               , 0.9954722986919929
"FP187", 0.1479798296989435               , 0.9619784694287539
"FP188", 0.19487971582934352               , 0.9180683339545799
"FP189", 0.18240534638831202               , 1.0345534937360783
"FP190", 0.1542143560828903               , 0.9992443942866457
"FP191", 0.09938598237524694               , 0.8876839851337166
"FP192", 0.12530832458966784               , 1.0294597222673283
"FP193", 0.12697134292862378               , 0.9150605451861435
"FP194", 0.1090309392936293               , 1.0625743231129496
"FP195", 0.15239681426438367               , 0.9752391247461251
"FP196", 0.1070040593660502               , 1.0374088338979923
"FP197", 0.07432887557346314               , 0.9761658194842406
"FP198", 0.10784161204353873               , 1.008890988595048
"FP199", 0.07745419529101082               , 1.0436860949280458
"FP200", 0.0860647990754695               , 0.9482921878234799
"FP201", 0.14537433725183097               , 0.9862394151506043
"FP202", 0.2272990412843307               , 0.9967694177103463
"FP203", 0.15918589824812496               , 0.977163644207078
"FP204", 0.19562690495552665               , 1.0131149971946067
"FP205", 0.12108237363807571               , 0.8768798413723689
"FP206", 0.18692149606906822               , 1.0128651746279607
"FP207", 0.1496708908678094               , 1.0317374501744334
"FP208", 0.15639123823148246               , 0.9581104237766402
"MolWeight", 12.830614123896773               , 1.0553239808603656
"NumAtoms", 1.7013894298484509               , 0.5316399212297792
"NumNonHAtoms", 1.0461317393324816               , 0.7228445927980869
"NumBonds", 1.7077940110751284               , 0.5250602475225375
"NumNonHBonds", 1.3128895762975954               , 0.6346615551339749
"NumMultBonds", 1.4999680054497955               , 1.0323115566289254
"NumRotBonds", 1.2877982784635864               , 1.0430202175379755
"NumDblBonds", 0.5725326872714613               , 0.9956481100357268
"NumAromaticBonds", 1.5860761322049375               , 1.012527727840697
"NumHydrogen", 1.090962127907459               , 0.8325160034749868
"NumCarbon", 0.9678728056765155               , 0.9860781743109535
"NumNitrogen", 0.5433162730366009               , 1.0130644326956233
"NumOxygen", 0.6359287672086393               , 1.0102085528567304
"NumSulfer", 0.13779574567062633               , 1.045447436137786
"NumChlorine", 0.6612225371051688               , 1.050270387693383
"NumHalogen", 0.49756847774098295               , 1.1563495486896065
"NumRings", 0.49082946214205764               , 1.010168710524395
"HydrophilicFactor", 0.3911925280658889               , 1.07062122300786
"SurfaceArea1", 4.203849773387551               , 1.0546122000368687
"SurfaceArea2", 4.321821237397072               , 1.0413585970473913)
